"ano","mun","idade","sexo","causabas","obitos"
2010,"Campinas",0,"Feminino","(D65-D77)",1
2010,"Campinas",0,"Feminino","(G10-G99)",1
2010,"Campinas",0,"Feminino","(Outros)",65
2010,"Campinas",0,"Masculino","(Outros)",88
2010,"Campinas",1,"Feminino","(Outros)",5
2010,"Campinas",1,"Masculino","(Outros)",3
2010,"Campinas",2,"Feminino","(Outros)",6
2010,"Campinas",2,"Masculino","(Outros)",6
2010,"Campinas",3,"Feminino","(Outros)",3
2010,"Campinas",3,"Masculino","(Outros)",2
2010,"Campinas",4,"Feminino","(Outros)",3
2010,"Campinas",4,"Masculino","(G10-G99)",1
2010,"Campinas",4,"Masculino","(Outros)",1
2010,"Campinas",5,"Masculino","(Outros)",1
2010,"Campinas",6,"Feminino","(Outros)",2
2010,"Campinas",6,"Masculino","(Outros)",2
2010,"Campinas",7,"Feminino","(Outros)",1
2010,"Campinas",7,"Masculino","(Outros)",1
2010,"Campinas",8,"Feminino","(Outros)",1
2010,"Campinas",9,"Feminino","(Outros)",2
2010,"Campinas",10,"Feminino","(G10-G99)",1
2010,"Campinas",10,"Feminino","(Outros)",1
2010,"Campinas",10,"Masculino","(Outros)",3
2010,"Campinas",11,"Feminino","(Outros)",3
2010,"Campinas",11,"Masculino","(Outros)",1
2010,"Campinas",12,"Feminino","(Outros)",2
2010,"Campinas",12,"Masculino","(Outros)",1
2010,"Campinas",13,"Masculino","(Outros)",3
2010,"Campinas",14,"Masculino","(Outros)",3
2010,"Campinas",15,"Feminino","(Outros)",1
2010,"Campinas",15,"Masculino","(G10-G99)",1
2010,"Campinas",15,"Masculino","(Outros)",3
2010,"Campinas",16,"Feminino","(Outros)",2
2010,"Campinas",16,"Masculino","(Outros)",6
2010,"Campinas",17,"Feminino","(Outros)",1
2010,"Campinas",17,"Masculino","(Outros)",9
2010,"Campinas",18,"Feminino","(Outros)",3
2010,"Campinas",18,"Masculino","(Outros)",15
2010,"Campinas",19,"Feminino","(Outros)",6
2010,"Campinas",19,"Masculino","(G10-G99)",1
2010,"Campinas",19,"Masculino","(Outros)",6
2010,"Campinas",20,"Feminino","(G10-G99)",1
2010,"Campinas",20,"Feminino","(Outros)",4
2010,"Campinas",20,"Masculino","(E10-E14)",1
2010,"Campinas",20,"Masculino","(Outros)",12
2010,"Campinas",21,"Feminino","(Outros)",5
2010,"Campinas",21,"Masculino","(Outros)",14
2010,"Campinas",22,"Feminino","(Outros)",3
2010,"Campinas",22,"Masculino","(Outros)",17
2010,"Campinas",23,"Feminino","(Outros)",4
2010,"Campinas",23,"Masculino","(Outros)",15
2010,"Campinas",24,"Feminino","(Outros)",3
2010,"Campinas",24,"Masculino","(Outros)",15
2010,"Campinas",25,"Feminino","(Outros)",5
2010,"Campinas",25,"Masculino","(G10-G99)",1
2010,"Campinas",25,"Masculino","(Outros)",13
2010,"Campinas",26,"Feminino","(Outros)",2
2010,"Campinas",26,"Masculino","(D65-D77)",1
2010,"Campinas",26,"Masculino","(Outros)",19
2010,"Campinas",27,"Feminino","(Outros)",5
2010,"Campinas",27,"Masculino","(Outros)",16
2010,"Campinas",28,"Feminino","(Outros)",6
2010,"Campinas",28,"Masculino","(Outros)",21
2010,"Campinas",29,"Feminino","(Outros)",5
2010,"Campinas",29,"Masculino","(Outros)",16
2010,"Campinas",30,"Feminino","(J40-J44)",1
2010,"Campinas",30,"Feminino","(Outros)",7
2010,"Campinas",30,"Masculino","(Outros)",17
2010,"Campinas",31,"Feminino","(G10-G99)",1
2010,"Campinas",31,"Feminino","(Outros)",10
2010,"Campinas",31,"Masculino","(Outros)",18
2010,"Campinas",32,"Feminino","(Outros)",6
2010,"Campinas",32,"Masculino","(E10-E14)",1
2010,"Campinas",32,"Masculino","(E66)",1
2010,"Campinas",32,"Masculino","(Outros)",20
2010,"Campinas",33,"Feminino","(Outros)",8
2010,"Campinas",33,"Masculino","(Outros)",14
2010,"Campinas",34,"Feminino","(Outros)",10
2010,"Campinas",34,"Masculino","(D80-D89)",1
2010,"Campinas",34,"Masculino","(G10-G99)",1
2010,"Campinas",34,"Masculino","(Outros)",24
2010,"Campinas",35,"Feminino","(J09-J11)",1
2010,"Campinas",35,"Feminino","(Outros)",3
2010,"Campinas",35,"Masculino","(N17-N19)",1
2010,"Campinas",35,"Masculino","(Outros)",21
2010,"Campinas",36,"Feminino","(E66)",1
2010,"Campinas",36,"Feminino","(Outros)",10
2010,"Campinas",36,"Masculino","(Outros)",19
2010,"Campinas",37,"Feminino","(Outros)",9
2010,"Campinas",37,"Masculino","(Outros)",24
2010,"Campinas",38,"Feminino","(Outros)",4
2010,"Campinas",38,"Masculino","(Outros)",19
2010,"Campinas",39,"Feminino","(N17-N19)",1
2010,"Campinas",39,"Feminino","(Outros)",10
2010,"Campinas",39,"Masculino","(G10-G99)",1
2010,"Campinas",39,"Masculino","(J40-J44)",1
2010,"Campinas",39,"Masculino","(Outros)",19
2010,"Campinas",40,"Feminino","(E10-E14)",1
2010,"Campinas",40,"Feminino","(J40-J44)",1
2010,"Campinas",40,"Feminino","(Outros)",12
2010,"Campinas",40,"Masculino","(J45-J46)",1
2010,"Campinas",40,"Masculino","(Outros)",24
2010,"Campinas",41,"Feminino","(Outros)",14
2010,"Campinas",41,"Masculino","(Outros)",29
2010,"Campinas",42,"Feminino","(E66)",1
2010,"Campinas",42,"Feminino","(Outros)",9
2010,"Campinas",42,"Masculino","(I80-I82)",1
2010,"Campinas",42,"Masculino","(J45-J46)",1
2010,"Campinas",42,"Masculino","(N17-N19)",1
2010,"Campinas",42,"Masculino","(Outros)",21
2010,"Campinas",43,"Feminino","(Outros)",6
2010,"Campinas",43,"Masculino","(Outros)",27
2010,"Campinas",44,"Feminino","(G10-G99)",1
2010,"Campinas",44,"Feminino","(Outros)",8
2010,"Campinas",44,"Masculino","(E10-E14)",1
2010,"Campinas",44,"Masculino","(I20, I23-I25)",1
2010,"Campinas",44,"Masculino","(J40-J44)",2
2010,"Campinas",44,"Masculino","(Outros)",28
2010,"Campinas",45,"Feminino","(Outros)",21
2010,"Campinas",45,"Masculino","(E10-E14)",2
2010,"Campinas",45,"Masculino","(Outros)",27
2010,"Campinas",46,"Feminino","(Outros)",13
2010,"Campinas",46,"Masculino","(E10-E14)",1
2010,"Campinas",46,"Masculino","(E66)",1
2010,"Campinas",46,"Masculino","(G10-G99)",1
2010,"Campinas",46,"Masculino","(J40-J44)",1
2010,"Campinas",46,"Masculino","(Outros)",36
2010,"Campinas",47,"Feminino","(E10-E14)",1
2010,"Campinas",47,"Feminino","(Outros)",15
2010,"Campinas",47,"Masculino","(Outros)",27
2010,"Campinas",48,"Feminino","(E66)",1
2010,"Campinas",48,"Feminino","(I20, I23-I25)",1
2010,"Campinas",48,"Feminino","(Outros)",20
2010,"Campinas",48,"Masculino","(E10-E14)",1
